-Cp        Points_0        Points_1        Points_2
-0.0872757        0.989466        0.00236723        0
-0.0860529        0.988008        0.0026616        0
-0.0848296        0.986484        0.00296762        0
-0.0840369        0.984892        0.00328536        0
-0.0828407        0.98323        0.00361476        0
-0.0819131        0.981494        0.00395646        0
-0.0805558        0.97968        0.00431232        0
-0.0791046        0.977789        0.00468401        0
-0.0770619        0.975814        0.00507271        0
-0.0757043        0.973754        0.00547778        0
-0.0736616        0.971604        0.005898        0
-0.0716859        0.969361        0.00633207        0
-0.0696567        0.967021        0.00678096        0
-0.0676813        0.964581        0.0072466        0
-0.0651544        0.962038        0.00773126        0
-0.0628025        0.959387        0.00823711        0
-0.0602222        0.956626        0.00876353        0
-0.0576688        0.953748        0.00930978        0
-0.0546581        0.950752        0.0098748        0
-0.0515804        0.947631        0.0104593        0
-0.0482743        0.944381        0.0110647        0
-0.0448878        0.941001        0.0116925        0
-0.0410709        0.937483        0.0123449        0
-0.037066        0.933825        0.0130215        0
-0.0327653        0.930022        0.0137189        0
-0.02829        0.926067        0.0144342        0
-0.0234785        0.921956        0.0151691        0
-0.0184255        0.917687        0.0159261        0
-0.0130094        0.913254        0.0167082        0
-0.00728413        0.908653        0.0175151        0
-0.00117979        0.903879        0.018346        0
0.00531002        0.898928        0.0191999        0
0.012168        0.893795        0.0200775        0
0.0194374        0.888476        0.0209788        0
0.0271262        0.882968        0.0219039        0
0.0352489        0.877265        0.022853        0
0.043799        0.871364        0.0238252        0
0.052786        0.865261        0.0248201        0
0.0622178        0.858953        0.0258376        0
0.0720797        0.852435        0.0268769        0
0.08233        0.845706        0.027937        0
0.0930586        0.838761        0.0290189        0
0.104351        0.8316        0.030124        0
0.116254        0.82422        0.0312525        0
0.128535        0.816617        0.0323969        0
0.141189        0.808792        0.0335543        0
0.154234        0.800741        0.0347249        0
0.16761        0.792465        0.0359054        0
0.181341        0.783964        0.0370957        0
0.195784        0.775237        0.0383        0
0.21148        0.766289        0.0395253        0
0.226633        0.757115        0.0407416        0
0.239402        0.747715        0.0419148        0
0.252202        0.738095        0.0430847        0
0.269803        0.728268        0.0443201        0
0.289667        0.718233        0.0455865        0
0.305118        0.707983        0.0467753        0
0.317305        0.697524        0.0479004        0
0.334301        0.686874        0.0490695        0
0.356354        0.676042        0.0502977        0
0.376468        0.665022        0.0514723        0
0.393703        0.653821        0.0525748        0
0.411237        0.64245        0.0536375        0
0.430098        0.63092        0.0546694        0
0.450498        0.619239        0.0556548        0
0.473531        0.607418        0.0565939        0
0.500104        0.595467        0.0574785        0
0.529229        0.583397        0.0583113        0
0.570437        0.57122        0.0590792        0
0.680232        0.558948        0.059787        0
0.910988        0.546594        0.0604152        0
1.14423        0.534169        0.0609669        0
1.25385        0.52169        0.0614451        0
1.28433        0.509168        0.0618653        0
1.29112        0.496618        0.0622015        0
1.28219        0.484054        0.0624708        0
1.27667        0.471489        0.0626654        0
1.26741        0.458938        0.0628216        0
1.24973        0.446415        0.0628596        0
1.25029        0.433932        0.062855        0
1.24635        0.421505        0.0628324        0
1.23654        0.409145        0.0627125        0
1.23387        0.396865        0.0625528        0
1.23063        0.384679        0.0623306        0
1.22516        0.372599        0.062061        0
1.21922        0.360637        0.0617277        0
1.21701        0.348802        0.0613504        0
1.21505        0.337108        0.0609198        0
1.21272        0.325562        0.0604498        0
1.21096        0.314175        0.0599346        0
1.20882        0.302957        0.0593856        0
1.20603        0.291915        0.0587993        0
1.20557        0.281056        0.0581809        0
1.20211        0.270389        0.057528        0
1.19313        0.25992        0.0568301        0
1.18655        0.249656        0.0560811        0
1.17759        0.239602        0.055289        0
1.16754        0.229763        0.0544462        0
1.16668        0.220141        0.0535821        0
1.17163        0.210739        0.0527044        0
1.1762        0.201559        0.0518115        0
1.18002        0.192603        0.0509047        0
1.18369        0.183873        0.0499854        0
1.18712        0.17537        0.0490566        0
1.19045        0.167095        0.0481163        0
1.19387        0.159047        0.047163        0
1.18812        0.151226        0.0461963        0
1.1802        0.143633        0.0452051        0
1.17834        0.136267        0.0441856        0
1.17692        0.129126        0.043152        0
1.17642        0.122206        0.0421081        0
1.17638        0.115505        0.0410546        0
1.17867        0.109021        0.0399969        0
1.18202        0.102749        0.0389336        0
1.1836        0.0966872        0.0378628        0
1.18438        0.0908329        0.0367838        0
1.18594        0.0851818        0.0356991        0
1.18682        0.0797307        0.0346098        0
1.188        0.0744745        0.033516        0
1.18989        0.0694101        0.0324216        0
1.19063        0.0645318        0.0313264        0
1.19082        0.0598369        0.0302303        0
1.19469        0.0553204        0.0291348        0
1.19929        0.0509777        0.0280384        0
1.20032        0.0468076        0.0269373        0
1.19895        0.0428034        0.0258313        0
1.20125        0.0389629        0.0247194        0
1.21165        0.0352819        0.0236032        0
1.20046        0.0317551        0.0224796        0
1.18232        0.0283872        0.0213369        0
1.16831        0.0251688        0.0201739        0
1.15246        0.0221047        0.0189841        0
1.1235        0.0191921        0.0177638        0
1.06806        0.0164285        0.0165055        0
1.01921        0.0138339        0.0151926        0
0.937885        0.0113919        0.0138152        0
0.803048        0.00913905        0.0123706        0
0.623622        0.00706436        0.0108358        0
0.504511        0.00517768        0.00924424        0
0.430301        0.00343074        0.00761068        0
0.245111        0.00200858        0.0058666        0
-0.065802        0.000872294        0.00396631        0
-0.421609        0.000270528        0.00199487        0
-0.736548        0        0        0
-0        -19.6275        -1.84931        0
-0        -19.7143        0.0419448        0
-0        -19.6195        1.93227        0
-0        -19.3522        3.7623        0
-0        -18.9372        5.48243        0
-0        -18.4084        7.059        0
-0        -17.8016        8.4755        0
-0        -17.1495        9.72992        0
-0        -16.4782        10.8303        0
-0        -15.8072        11.7906        0
-0        -15.1496        12.6269        0
-0        -14.5136        13.3555        0
-0        -13.9038        13.9916        0
-0        -13.3222        14.5489        0
-0        -12.7693        15.0388        0
-0        -12.2445        15.4714        0
-0        -11.7465        15.8551        0
-0        -11.274        16.1967        0
-0        -10.8254        16.5022        0
-0        -10.3989        16.7765        0
-0        -9.99307        17.0236        0
-0        -9.60641        17.2469        0
-0        -9.23752        17.4495        0
-0        -8.88514        17.6338        0
-0        -8.54809        17.8018        0
-0        -8.22531        17.9554        0
-0        -7.91582        18.0963        0
-0        -7.61873        18.2255        0
-0        -7.33323        18.3445        0
-0        -7.05858        18.4542        0
-0        -6.79409        18.5554        0
-0        -6.53915        18.649        0
-0        -6.29318        18.7357        0
-0        -6.05567        18.8161        0
-0        -5.82612        18.8907        0
-0        -5.60408        18.96        0
-0        -5.38915        19.0245        0
-0        -5.18094        19.0846        0
-0        -4.97909        19.1405        0
-0        -4.78328        19.1927        0
-0        -4.59318        19.2414        0
-0        -4.40851        19.2868        0
-0        -4.22901        19.3293        0
-0        -4.05441        19.369        0
-0        -3.88449        19.4061        0
-0        -3.71901        19.4408        0
-0        -3.55777        19.4733        0
-0        -3.40057        19.5037        0
-0        -3.24723        19.5322        0
-0        -3.09757        19.5589        0
-0        -2.95142        19.5838        0
-0        -2.80863        19.6072        0
-0        -2.66905        19.629        0
-0        -2.53254        19.6495        0
-0        -2.39898        19.6686        0
-0        -2.26823        19.6866        0
-0        -2.14017        19.7033        0
