-Cp    Points_0    Points_1    Points_2
-0.0683663    0.989466    0.00236723    0
-0.0686083    0.988008    0.0026616    0
-0.0675467    0.986484    0.00296762    0
-0.0668341    0.984892    0.00328536    0
-0.0662698    0.98323    0.00361476    0
-0.0654364    0.981494    0.00395646    0
-0.0650064    0.97968    0.00431232    0
-0.064926    0.977789    0.00468401    0
-0.0641599    0.975814    0.00507271    0
-0.0635148    0.973754    0.00547778    0
-0.0626949    0.971604    0.005898    0
-0.0622649    0.969361    0.00633207    0
-0.0616734    0.967021    0.00678096    0
-0.0613241    0.964581    0.0072466    0
-0.060773    0.962038    0.00773126    0
-0.0598861    0.959387    0.00823711    0
-0.0587172    0.956626    0.00876353    0
-0.0573865    0.953748    0.00930978    0
-0.0557469    0.950752    0.0098748    0
-0.0539189    0.947631    0.0104593    0
-0.0523196    0.944381    0.0110647    0
-0.0503978    0.941001    0.0116925    0
-0.0479251    0.937483    0.0123449    0
-0.0455866    0.933825    0.0130215    0
-0.042724    0.930022    0.0137189    0
-0.0397809    0.926067    0.0144342    0
-0.0366495    0.921956    0.0151691    0
-0.0330745    0.917687    0.0159261    0
-0.0293788    0.913254    0.0167082    0
-0.0252796    0.908653    0.0175151    0
-0.0206162    0.903879    0.018346    0
-0.0154956    0.898928    0.0191999    0
-0.00999906    0.893795    0.0200775    0
-0.00415266    0.888476    0.0209788    0
0.00226442    0.882968    0.0219039    0
0.00924367    0.877265    0.022853    0
0.016743    0.871364    0.0238252    0
0.0245    0.865261    0.0248201    0
0.0328595    0.858953    0.0258376    0
0.0420373    0.852435    0.0268769    0
0.0515806    0.845706    0.027937    0
0.0614907    0.838761    0.0290189    0
0.0723742    0.8316    0.030124    0
0.0840167    0.82422    0.0312525    0
0.0960342    0.816617    0.0323969    0
0.108692    0.808792    0.0335543    0
0.12199    0.800741    0.0347249    0
0.135584    0.792465    0.0359054    0
0.149722    0.783964    0.0370957    0
0.164897    0.775237    0.0383    0
0.181233    0.766289    0.0395253    0
0.197357    0.757115    0.0407416    0
0.211447    0.747715    0.0419148    0
0.225598    0.738095    0.0430847    0
0.244531    0.728268    0.0443201    0
0.266042    0.718233    0.0455865    0
0.283074    0.707983    0.0467753    0
0.296517    0.697524    0.0479004    0
0.315467    0.686874    0.0490695    0
0.340418    0.676042    0.0502977    0
0.363169    0.665022    0.0514723    0
0.382219    0.653821    0.0525748    0
0.40113    0.64245    0.0536375    0
0.420257    0.63092    0.0546694    0
0.439029    0.619239    0.0556548    0
0.457379    0.607418    0.0565939    0
0.474877    0.595467    0.0574785    0
0.491249    0.583397    0.0583113    0
0.506602    0.57122    0.0590792    0
0.52125    0.558948    0.059787    0
0.53427    0.546594    0.0604152    0
0.544559    0.534169    0.0609669    0
0.554772    0.52169    0.0614451    0
0.569558    0.509168    0.0618653    0
0.623115    0.496618    0.0622015    0
0.78854    0.484054    0.0624708    0
0.999473    0.471489    0.0626654    0
1.11548    0.458938    0.0628216    0
1.15135    0.446415    0.0628596    0
1.16953    0.433932    0.062855    0
1.17506    0.421505    0.0628324    0
