-Cp    Points_0    Points_1    Points_2
-0.705302    0    0    0
-0.981899    0.000281972    -0.00198923    0
-1.12407    0.000882276    -0.00396926    0
-1.15015    0.00194736    -0.00590827    0
-1.10959    0.00332911    -0.00766855    0
-1.05035    0.00509127    -0.00929361    0
-0.980192    0.00699148    -0.0108657    0
-0.907082    0.00908233    -0.0123784    0
-0.837908    0.0113425    -0.0138088    0
-0.77809    0.0137861    -0.0151777    0
-0.724278    0.016378    -0.0164944    0
-0.678194    0.0191335    -0.0177658    0
-0.637016    0.0220332    -0.0190113    0
-0.594655    0.0250781    -0.0202433    0
-0.55357    0.0282769    -0.0214547    0
-0.517486    0.0316271    -0.022638    0
-0.484935    0.0351397    -0.0237996    0
-0.454011    0.0388069    -0.0249502    0
-0.42271    0.0426355    -0.0260959    0
-0.392539    0.046628    -0.0272309    0
-0.366157    0.0507898    -0.0283526    0
-0.341281    0.055125    -0.0294626    0
-0.317265    0.0596368    -0.0305625    0
-0.29728    0.0643309    -0.031651    0
-0.27743    0.069208    -0.0327323    0
-0.254194    0.0742709    -0.0338158    0
-0.23093    0.0795245    -0.0348998    0
-0.209709    0.0849738    -0.0359762    0
-0.190087    0.0906232    -0.0370433    0
-0.171675    0.0964757    -0.0381019    0
-0.153438    0.102535    -0.0391513    0
-0.134502    0.108806    -0.040192    0
-0.116614    0.115289    -0.0412209    0
-0.100688    0.121989    -0.0422379    0
-0.0841311    0.128909    -0.0432433    0
-0.0667806    0.136048    -0.0442377    0
-0.050492    0.143412    -0.0452192    0
-0.0357218    0.151001    -0.0461804    0
-0.0220539    0.158818    -0.0471231    0
-0.00743185    0.16686    -0.0480497    0
0.0078178    0.175131    -0.0489612    0
0.0229572    0.183629    -0.0498554    0
0.0389623    0.192354    -0.0507356    0
0.054329    0.201305    -0.0515921    0
0.0692654    0.210482    -0.0524153    0
0.0839523    0.219882    -0.0532102    0
0.100148    0.229501    -0.0539794    0
0.11548    0.239338    -0.0547213    0
0.133769    0.249387    -0.0554275    0
0.15434    0.259646    -0.0560994    0
0.171452    0.270108    -0.056711    0
0.187382    0.280769    -0.0572715    0
0.203488    0.291622    -0.0577726    0
0.222818    0.302658    -0.0582258    0
0.237193    0.313872    -0.0585895    0
0.256195    0.325253    -0.0588921    0
0.265657    0.336793    -0.0590632    0
0.28075    0.348483    -0.0591707    0
0.294435    0.360309    -0.0591707    0
0.294637    0.372262    -0.05903    0
0.301741    0.384329    -0.0588052    0
0.300361    0.396497    -0.0584028    0
0.294044    0.408752    -0.0578916    0
0.283268    0.421081    -0.0572227    0
0.268297    0.43347    -0.0564499    0
0.252937    0.445906    -0.055547    0
0.236097    0.458374    -0.0545378    0
0.217283    0.470861    -0.0534072    0
0.197341    0.483353    -0.052195    0
0.177728    0.495839    -0.0508914    0
0.156539    0.508302    -0.0495074    0
0.133923    0.52073    -0.048043    0
0.112094    0.533114    -0.0465351    0
0.0919862    0.545439    -0.0449797    0
0.071518    0.557691    -0.043382    0
0.0509611    0.56986    -0.0417459    0
0.0300989    0.581934    -0.0400866    0
0.010167    0.593903    -0.038414    0
-0.00269731    0.605763    -0.0367912    0
-0.0106441    0.617501    -0.0351921    0
-0.0273627    0.629089    -0.0335153    0
-0.0516477    0.640524    -0.0317885    0
-0.0708932    0.651809    -0.030121    0
-0.0848565    0.662935    -0.0285014    0
-0.098807    0.673891    -0.0269083    0
-0.113187    0.684669    -0.0253429    0
-0.12664    0.695262    -0.0238167    0
-0.13895    0.705665    -0.0223299    0
-0.151355    0.715873    -0.0208849    0
-0.163867    0.725878    -0.0194803    0
-0.175264    0.73568    -0.0181228    0
-0.185894    0.745272    -0.0168152    0
-0.196794    0.754653    -0.0155574    0
-0.207545    0.763819    -0.0143501    0
-0.217128    0.772769    -0.0131931    0
