-Cp        Points_0        Points_1        Points_2
0.0637042        0.989466        0.00236723        0
0.0649058        0.988008        0.0026616        0
0.0663493        0.986484        0.00296762        0
0.067544        0.984892        0.00328536        0
0.0686701        0.98323        0.00361476        0
0.0695639        0.981494        0.00395646        0
0.0705853        0.97968        0.00431232        0
0.071518        0.977789        0.00468401        0
0.072503        0.975814        0.00507271        0
0.0733941        0.973754        0.00547778        0
0.0744156        0.971604        0.005898        0
0.0753227        0.969361        0.00633207        0
0.07625        0.967021        0.00678096        0
0.0770872        0.964581        0.0072466        0
0.0779729        0.962038        0.00773126        0
0.0787927        0.959387        0.00823711        0
0.0797254        0.956626        0.00876353        0
0.0805709        0.953748        0.00930978        0
0.081486        0.950752        0.0098748        0
0.0823287        0.947631        0.0104593        0
0.083256        0.944381        0.0110647        0
0.084112        0.941001        0.0116925        0
0.0850931        0.937483        0.0123449        0
0.0860177        0.933825        0.0130215        0
0.0870781        0.930022        0.0137189        0
0.0880927        0.926067        0.0144342        0
0.0892796        0.921956        0.0151691        0
0.0904541        0.917687        0.0159261        0
0.091837        0.913254        0.0167082        0
0.0932374        0.908653        0.0175151        0
0.0948648        0.903879        0.018346        0
0.0965423        0.898928        0.0191999        0
0.0984587        0.893795        0.0200775        0
0.100444        0.888476        0.0209788        0
0.102637        0.882968        0.0219039        0
0.104916        0.877265        0.022853        0
0.107404        0.871364        0.0238252        0
0.109975        0.865261        0.0248201        0
0.11278        0.858953        0.0258376        0
0.115699        0.852435        0.0268769        0
0.118845        0.845706        0.027937        0
0.122182        0.838761        0.0290189        0
0.125823        0.8316        0.030124        0
0.129742        0.82422        0.0312525        0
0.133997        0.816617        0.0323969        0
0.138571        0.808792        0.0335543        0
0.143535        0.800741        0.0347249        0
0.148844        0.792465        0.0359054        0
0.15459        0.783964        0.0370957        0
0.16072        0.775237        0.0383        0
0.16731        0.766289        0.0395253        0
0.174301        0.757115        0.0407416        0
0.181747        0.747715        0.0419148        0
0.189805        0.738095        0.0430847        0
0.198565        0.728268        0.0443201        0
0.20796        0.718233        0.0455865        0
0.217765        0.707983        0.0467753        0
0.228046        0.697524        0.0479004        0
0.23945        0.686874        0.0490695        0
0.251968        0.676042        0.0502977        0
0.26509        0.665022        0.0514723        0
0.278892        0.653821        0.0525748        0
0.293391        0.64245        0.0536375        0
0.309088        0.63092        0.0546694        0
0.325549        0.619239        0.0556548        0
0.34329        0.607418        0.0565939        0
0.361972        0.595467        0.0574785        0
0.382341        0.583397        0.0583113        0
0.403916        0.57122        0.0590792        0
0.428049        0.558948        0.059787        0
0.454319        0.546594        0.0604152        0
0.484942        0.534169        0.0609669        0
0.519257        0.52169        0.0614451        0
0.560536        0.509168        0.0618653        0
0.610066        0.496618        0.0622015        0
0.707698        0.484054        0.0624708        0
0.94914        0.471489        0.0626654        0
1.22551        0.458938        0.0628216        0
1.36595        0.446415        0.0628596        0
1.4074        0.433932        0.062855        0
1.40895        0.421505        0.0628324        0
1.40226        0.409145        0.0627125        0
1.39896        0.396865        0.0625528        0
1.39126        0.384679        0.0623306        0
1.38531        0.372599        0.062061        0
1.38144        0.360637        0.0617277        0
1.37785        0.348802        0.0613504        0
1.3748        0.337108        0.0609198        0
1.37214        0.325562        0.0604498        0
1.37097        0.314175        0.0599346        0
1.37097        0.302957        0.0593856        0
1.36907        0.291915        0.0587993        0
1.36853        0.281056        0.0581809        0
1.3654        0.270389        0.057528        0
1.35642        0.25992        0.0568301        0
1.35073        0.249656        0.0560811        0
1.34312        0.239602        0.055289        0
1.33517        0.229763        0.0544462        0
1.33645        0.220141        0.0535821        0
1.34107        0.210739        0.0527044        0
1.34513        0.201559        0.0518115        0
1.34831        0.192603        0.0509047        0
1.35248        0.183873        0.0499854        0
1.35803        0.17537        0.0490566        0
1.36206        0.167095        0.0481163        0
1.36586        0.159047        0.047163        0
1.37001        0.151226        0.0461963        0
1.36651        0.143633        0.0452051        0
1.36219        0.136267        0.0441856        0
1.36558        0.129126        0.043152        0
1.36946        0.122206        0.0421081        0
