-Cp    Points_0    Points_1    Points_2
-0.0544165    0.989466    0.00236723    0
-0.0544969    0.988008    0.0026616    0
-0.0545238    0.986484    0.00296762    0
-0.0546581    0.984892    0.00328536    0
-0.0546715    0.98323    0.00361476    0
-0.0547388    0.981494    0.00395646    0
-0.0547119    0.97968    0.00431232    0
-0.0547657    0.977789    0.00468401    0
-0.0547388    0.975814    0.00507271    0
-0.0547523    0.973754    0.00547778    0
-0.0547254    0.971604    0.005898    0
-0.0547119    0.969361    0.00633207    0
-0.054685    0.967021    0.00678096    0
-0.0546581    0.964581    0.0072466    0
-0.0545908    0.962038    0.00773126    0
-0.0544969    0.959387    0.00823711    0
-0.0542819    0.956626    0.00876353    0
-0.0541204    0.953748    0.00930978    0
-0.0539862    0.950752    0.0098748    0
-0.0538923    0.947631    0.0104593    0
-0.0538115    0.944381    0.0110647    0
-0.0537846    0.941001    0.0116925    0
-0.0537308    0.937483    0.0123449    0
-0.0535831    0.933825    0.0130215    0
-0.0531127    0.930022    0.0137189    0
-0.0521719    0.926067    0.0144342    0
-0.0508816    0.921956    0.0151691    0
-0.0507204    0.917687    0.0159261    0
-0.0520377    0.913254    0.0167082    0
-0.0522258    0.908653    0.0175151    0
-0.0500081    0.903879    0.018346    0
-0.0463797    0.898928    0.0191999    0
-0.0417294    0.893795    0.0200775    0
-0.0361387    0.888476    0.0209788    0
-0.0295669    0.882968    0.0219039    0
-0.0220405    0.877265    0.022853    0
-0.0135602    0.871364    0.0238252    0
-0.004169    0.865261    0.0248201    0
0.00607871    0.858953    0.0258376    0
0.0170586    0.852435    0.0268769    0
0.0286851    0.845706    0.027937    0
0.0409393    0.838761    0.0290189    0
0.0539016    0.8316    0.030124    0
0.0676166    0.82422    0.0312525    0
0.0818072    0.816617    0.0323969    0
0.0964307    0.808792    0.0335543    0
0.11148    0.800741    0.0347249    0
0.126876    0.792465    0.0359054    0
0.142599    0.783964    0.0370957    0
0.159118    0.775237    0.0383    0
0.177116    0.766289    0.0395253    0
0.194486    0.757115    0.0407416    0
0.208878    0.747715    0.0419148    0
0.223225    0.738095    0.0430847    0
0.243341    0.728268    0.0443201    0
0.266144    0.718233    0.0455865    0
0.283186    0.707983    0.0467753    0
0.29579    0.697524    0.0479004    0
0.314346    0.686874    0.0490695    0
0.339301    0.676042    0.0502977    0
0.361376    0.665022    0.0514723    0
0.379055    0.653821    0.0525748    0
0.396216    0.64245    0.0536375    0
0.413421    0.63092    0.0546694    0
0.42975    0.619239    0.0556548    0
0.445187    0.607418    0.0565939    0
0.460286    0.595467    0.0574785    0
0.475667    0.583397    0.0583113    0
0.491483    0.57122    0.0590792    0
0.508876    0.558948    0.059787    0
0.535441    0.546594    0.0604152    0
0.610396    0.534169    0.0609669    0
0.75946    0.52169    0.0614451    0
0.923918    0.509168    0.0618653    0
1.04698    0.496618    0.0622015    0
1.13535    0.484054    0.0624708    0
1.19554    0.471489    0.0626654    0
1.21449    0.458938    0.0628216    0
1.21    0.446415    0.0628596    0
1.21472    0.433932    0.062855    0
1.21514    0.421505    0.0628324    0
1.20711    0.409145    0.0627125    0
1.20233    0.396865    0.0625528    0
1.19742    0.384679    0.0623306    0
1.19136    0.372599    0.062061    0
1.1856    0.360637    0.0617277    0
1.18168    0.348802    0.0613504    0
1.17871    0.337108    0.0609198    0
1.17682    0.325562    0.0604498    0
1.17553    0.314175    0.0599346    0
1.17514    0.302957    0.0593856    0
1.17496    0.291915    0.0587993    0
1.17386    0.281056    0.0581809    0
1.17009    0.270389    0.057528    0
1.16177    0.25992    0.0568301    0
1.15267    0.249656    0.0560811    0
1.14241    0.239602    0.055289    0
1.13337    0.229763    0.0544462    0
1.13273    0.220141    0.0535821    0
1.13675    0.210739    0.0527044    0
1.14022    0.201559    0.0518115    0
1.14289    0.192603    0.0509047    0
1.14578    0.183873    0.0499854    0
1.14917    0.17537    0.0490566    0
1.152    0.167095    0.0481163    0
1.15357    0.159047    0.047163    0
1.15122    0.151226    0.0461963    0
1.14314    0.143633    0.0452051    0
1.1361    0.136267    0.0441856    0
1.13382    0.129126    0.043152    0
1.13257    0.122206    0.0421081    0
1.13207    0.115505    0.0410546    0
1.13309    0.109021    0.0399969    0
1.13358    0.102749    0.0389336    0
1.13239    0.0966872    0.0378628    0
1.13112    0.0908329    0.0367838    0
1.13106    0.0851818    0.0356991    0
1.13127    0.0797307    0.0346098    0
1.13203    0.0744745    0.033516    0
1.13413    0.0694101    0.0324216    0
1.13616    0.0645318    0.0313264    0
1.13802    0.0598369    0.0302303    0
1.14032    0.0553204    0.0291348    0
1.14112    0.0509777    0.0280384    0
1.13954    0.0468076    0.0269373    0
1.13813    0.0428034    0.0258313    0
1.13869    0.0389629    0.0247194    0
1.14006    0.0352819    0.0236032    0
1.13587    0.0317551    0.0224796    0
1.12211    0.0283872    0.0213369    0
1.10623    0.0251688    0.0201739    0
1.08422    0.0221047    0.0189841    0
1.05851    0.0191921    0.0177638    0
0.99966    0.0164285    0.0165055    0
0.921347    0.0138339    0.0151926    0
0.835545    0.0113919    0.0138152    0
0.707457    0.00913905    0.0123706    0
0.525313    0.00706436    0.0108358    0
0.391574    0.00517768    0.00924424    0
0.293507    0.00343074    0.00761068    0
0.0959858    0.00200858    0.0058666    0
-0.2119    0.000872294    0.00396631    0
-0.552468    0.000270528    0.00199487    0
-0.840637    0    0    0
0.0286581    -0.57643    19.8455    0
0.0464508    -0.477946    19.8507    0
0.0344198    -0.38088    19.8554    0
0.0265913    -0.285179    19.8596    0
0.018017    -0.190793    19.8634    0
0.0124448    -0.0976738    19.8667    0
0.00389472    -0.00577383    19.8696    0
0.000606077    0.0849514    19.8721    0
-0.00643598    0.174545    19.8742    0
-0.0114506    0.263048    19.876    0
-0.0165709    0.350501    19.8774    0
-0.0210058    0.436942    19.8784    0
-0.023855    0.522407    19.8791    0
-0.0292577    0.606934    19.8795    0
-0.0333969    0.690555    19.8796    0
-0.0369853    0.773305    19.8794    0
-0.0403856    0.855215    19.8789    0
-0.0444982    0.936317    19.8782    0
-0.0485028    1.01664    19.8772    0
-0.0515    1.09621    19.8759    0
-0.0560154    1.17507    19.8743    0
